,Status,Dept_Short,End_Year,Edu_Short,畢業滿_年
4264,畢業,四技財稅,106,日四技,1
4265,畢業,四技財稅,107,日四技,3
4266,畢業,四技財稅,106,日四技,1
4267,畢業,四技財稅,106,日四技,3
4268,畢業,四技財稅,106,日四技,1
4269,畢業,四技財稅,106,日四技,5
4270,畢業,四技財稅,106,日四技,3
4271,畢業,四技財稅,106,日四技,1
4272,畢業,四技財稅,106,日四技,1
4273,畢業,四技財稅,106,日四技,3
4274,畢業,四技財稅,106,日四技,3
4275,畢業,四技財稅,106,日四技,5
4276,畢業,四技財稅,106,日四技,3
4277,畢業,四技財稅,106,日四技,1
4278,畢業,四技財稅,106,日四技,5
4279,畢業,四技財稅,106,日四技,1
4280,畢業,四技財稅,106,日四技,3
4281,畢業,四技財稅,106,日四技,1
4282,畢業,四技財稅,106,日四技,1
4283,畢業,四技財稅,106,日四技,3
4284,畢業,四技財稅,106,日四技,5
4285,畢業,四技財稅,106,日四技,3
4286,畢業,四技財稅,106,日四技,5
4287,畢業,四技財稅,106,日四技,3
4288,畢業,四技財稅,106,日四技,1
4289,畢業,四技財稅,106,日四技,1
4290,畢業,四技財稅,106,日四技,3
4291,畢業,四技財稅,106,日四技,1
4292,畢業,四技財稅,106,日四技,3
4293,畢業,四技財稅,106,日四技,5
4294,畢業,四技財稅,106,日四技,1
4295,畢業,四技財稅,106,日四技,3
4296,畢業,四技財稅,106,日四技,5
4297,畢業,四技財稅,106,日四技,1
4298,畢業,四技財稅,106,日四技,5
4299,畢業,四技財稅,106,日四技,1
4300,畢業,四技財稅,106,日四技,3
4301,畢業,四技財稅,106,日四技,1
4302,畢業,四技財稅,106,日四技,5
4303,畢業,四技財稅,106,日四技,1
4304,畢業,四技財稅,106,日四技,3
4305,畢業,四技財稅,106,日四技,1
4306,畢業,四技財稅,106,日四技,5
4307,畢業,四技財稅,106,日四技,3
4308,畢業,四技財稅,106,日四技,3
4309,畢業,四技財稅,106,日四技,1
4310,畢業,四技財稅,106,日四技,1
4311,畢業,四技商務,106,日四技,5
4312,畢業,四技商務,106,日四技,1
4313,畢業,四技商務,106,日四技,3
4314,畢業,四技商務,106,日四技,5
4315,畢業,四技商務,106,日四技,1
4316,畢業,四技商務,106,日四技,3
4317,畢業,四技商務,106,日四技,3
4318,畢業,四技商務,106,日四技,3
4319,畢業,四技商務,106,日四技,1
4320,畢業,四技商務,106,日四技,5
4321,畢業,四技商務,106,日四技,3
4322,畢業,四技商務,106,日四技,5
4323,畢業,四技商務,106,日四技,1
4324,畢業,四技商務,106,日四技,3
4325,畢業,四技商務,106,日四技,5
4326,畢業,四技商務,106,日四技,1
4327,畢業,四技商務,106,日四技,5
4328,畢業,四技商務,106,日四技,3
4329,畢業,四技商務,106,日四技,5
4330,畢業,四技商務,106,日四技,3
4331,畢業,四技商務,106,日四技,1
4332,畢業,四技商務,106,日四技,1
4333,畢業,四技商務,106,日四技,5
4334,畢業,四技商務,106,日四技,3
4335,畢業,四技商務,106,日四技,1
4336,畢業,四技商務,106,日四技,5
4337,畢業,四技商務,106,日四技,1
4338,畢業,四技商務,106,日四技,3
4339,畢業,四技商務,106,日四技,1
4340,畢業,四技商務,106,日四技,1
4341,畢業,四技商務,106,日四技,5
